Marketo Field Name, DB Field Name
email, emailAddress
userID__c_contact, userID
salesforceOwnerAtImport, salesforceOwnerAtImport
leadStatusAtImport, salesforceStatus
Smartscore_Code__c, smartscoreCode
leadSourceAtImport, salesforceLeadSource
FirstName, firstName
LastName, lastName
Email, emailAddress
Domain__c, emailDomain
isOrgDomain__c, isOrgDomain
Website, website
newsFlags__c, newsFlags
statusFlags, statusFlags
locale__c, locale
timeZone__c, timeZone
abTests, ABTests
ipCountry__c, ipCountry
usedGoogleAuthentication__c, usedGoogleAuthentication
isGoogleAppsInstalledDomain__c, isGoogleAppsInstalledDomain
Domain_s_Highest_Plan__c, domainsHighestPlan
Domain_Use_in_Past_Year__c, domainUseInPastYear
Current_Domain_Trials__c, currentDomainTrials
Shared_To__c, wasSharedToPriorToTrial
paymentProfileID__c, paymentProfileID
parentPaymentProfileID__c, parentPaymentProfileID
productName__c, productName
AccountRole__c, accountRole
userLimit__c, userLimit
paymentStartDateTime__c, paymentStartDateTime
nextPaymentDate__c,  nextPaymentDate
paymentTerm__c, paymentTerm
planRate__c, planRate
monthlyPlanRate_USD__c, monthlyPlanRate_USD
currencyCode__c, currencyCode
Team_Trial__c, teamTrial
trialStartDateTime__c,  trialStartDateTime
trialEndDateDateTime__c,  trialEndDateDateTime
isTrialRestart__c, isTrialRestart
primaryContactPhone__c, primaryContactPhone
BillingStreet, billToAddress
BillingCity, billToCity
BillingState, billToRegionCode
BillingPostalCode, billToPostCode
BillingCountry, billToCountryCode
organizationName__c, organizationName
historyHighestPlan, historyHighestPlan
Search_Term__c, signupTrackingKeyword
signupTrackingscode, signupTracking_s_code
signupTrackingccode, signupTracking_c_code
signupTrackingmcode, signupTracking_m_code
Source_Bucket__c, signupBucket
signupSource__c, signupSource
signupSubSource__c, signupSubSource
marketoTrackingCookie, marketoTrackingCookie
lastLogin__c,  lastLogin
lastMobileLogin__c,  lastMobileLogin
isEverWellQualified__c, isEverWellQualified
isStrongLead__c, isStrongLead
eventLogCount__c, eventLogCount
loginCount__c, loginCount
Sheet_Count__c, sheetCount
sharingCount__c, sharingCount
reportCount__c, reportCount
Company, company
NumberOfEmployees, numberOfEmployees
Churn_Risk_Category__c, churnRiskCategory
Role__c, role
Used_Reminder__c, usedReminders
Used_Cell_Linking__c, usedCellLinking
Discussions__c, discussionCount
Attachments__c, attachmentCount
